央视高清,#genre#
直播室1,http://175.152.138.149:6066/udp/239.94.2.11:5140
直播室2,http://175.152.138.149:6066/udp/239.94.2.12:5140
直播室3,http://175.152.138.149:6066/udp/239.94.2.13:5140
直播室3,http://175.152.138.149:6066/udp/239.94.2.14:5140
直播室5,http://175.152.138.149:6066/udp/239.94.2.15:5140
直播室6,http://175.152.138.149:6066/udp/239.94.2.16:5140
直播室7,http://175.152.138.149:6066/udp/239.94.2.17:5140
直播室8,http://175.152.138.149:6066/udp/239.94.2.18:5140
看天下精选,http://175.152.138.149:6066/udp/239.94.1.68:5140
精彩推荐,http://175.152.138.149:6066/udp/239.94.2.10:5140
红色影院,http://175.152.138.149:6066/udp/239.94.1.48:5140
经典剧场,http://175.152.138.149:6066/udp/239.94.1.49:5140
综艺咖秀,http://175.152.138.149:6066/udp/239.94.2.28:5140
综艺咖秀,http://175.152.138.149:6066/udp/239.94.2.27:5140
解密专区,http://175.152.138.149:6066/udp/239.94.1.53:5140
谍战剧场,http://175.152.138.149:6066/udp/239.94.1.28:5140
足球专区,http://175.152.138.149:6066/udp/239.94.1.47:5140
青春动漫,http://175.152.138.149:6066/udp/239.94.1.34:5140
风景,http://175.152.138.149:6066/udp/239.94.2.74:5140
风景直播1,http://175.152.138.149:6066/udp/239.94.2.19:5140
风景直播2,http://175.152.138.149:6066/udp/239.94.2.20:5140
风景直播3,http://175.152.138.149:6066/udp/239.94.2.23:5140
麻辣体育,http://175.152.138.149:6066/udp/239.94.1.149:5140
低画质,#genre#
CCTV1SD,http://175.152.138.149:6066/udp/239.94.2.146:5140
CCTV2SD,http://175.152.138.149:6066/udp/239.94.2.147:5140
CCTV3SD,http://175.152.138.149:6066/udp/239.94.2.148:5140
CCTV4SD,http://175.152.138.149:6066/udp/239.94.2.149:5140
CCTV5SD,http://175.152.138.149:6066/udp/239.94.2.150:5140
CCTV5+SD,http://175.152.138.149:6066/udp/239.94.2.162:5140
CCTV6SD,http://175.152.138.149:6066/udp/239.94.2.151:5140
CCTV7SD,http://175.152.138.149:6066/udp/239.94.2.152:5140
CCTV8SD,http://175.152.138.149:6066/udp/239.94.2.153:5140
CCTV9SD,http://175.152.138.149:6066/udp/239.94.2.154:5140
CCTV10SD,http://175.152.138.149:6066/udp/239.94.2.155:5140
CCTV11SD,http://175.152.138.149:6066/udp/239.94.2.156:5140
CCTV12SD,http://175.152.138.149:6066/udp/239.94.2.157:5140
CCTV13SD,http://175.152.138.149:6066/udp/239.94.2.158:5140
CCTV14SD,http://175.152.138.149:6066/udp/239.94.2.159:5140
CCTV15SD,http://175.152.138.149:6066/udp/239.94.2.160:5140
CCTV17SD,http://175.152.138.149:6066/udp/239.94.2.161:5140
CCTV4KSD,http://175.152.138.149:6066/udp/239.94.2.163:5140
CETV1SD,http://175.152.138.149:6066/udp/239.94.2.224:5140
CETV2SD,http://175.152.138.149:6066/udp/239.94.1.19:5140
CETV2SD,http://175.152.138.149:6066/udp/239.94.2.228:5140
CETV4SD,http://175.152.138.149:6066/udp/239.94.2.229:5140
CGTNSD,http://175.152.138.149:6066/udp/239.94.2.164:5140
CGTN西语SD,http://175.152.138.149:6066/udp/239.94.2.237:5140
CGTN法语SD,http://175.152.138.149:6066/udp/239.94.2.238:5140
梨园频道SD,http://175.152.138.149:6066/udp/239.94.2.227:5140
游戏风云SD,http://175.152.138.149:6066/udp/239.94.2.235:5140
书法频道SD,http://175.152.138.149:6066/udp/239.94.1.163:5140
金鹰纪实SD,http://175.152.138.149:6066/udp/239.94.2.223:5140
生活时尚SD,http://175.152.138.149:6066/udp/239.94.1.40:5140
生活时尚SD,http://175.152.138.149:6066/udp/239.94.2.233:5140
中国交通SD,http://175.152.138.149:6066/udp/239.94.2.193:5140
重庆卫视SD,http://175.152.138.149:6066/udp/239.94.2.188:5140
江苏卫视SD,http://175.152.138.149:6066/udp/239.94.2.168:5140
浙江卫视SD,http://175.152.138.149:6066/udp/239.94.2.169:5140
东方卫视SD,http://175.152.138.149:6066/udp/239.94.2.170:5140
深圳卫视SD,http://175.152.138.149:6066/udp/239.94.2.172:5140
北京卫视SD,http://175.152.138.149:6066/udp/239.94.2.171:5140
山东卫视SD,http://175.152.138.149:6066/udp/239.94.2.175:5140
天津卫视SD,http://175.152.138.149:6066/udp/239.94.2.174:5140
贵州卫视SD,http://175.152.138.149:6066/udp/239.94.2.189:5140
四川卫视SD,http://175.152.138.149:6066/udp/239.94.2.165:5140
云南卫视SD,http://175.152.138.149:6066/udp/239.94.2.196:5140
广西卫视SD,http://175.152.138.149:6066/udp/239.94.2.195:5140
黑龙江卫视SD,http://175.152.138.149:6066/udp/239.94.2.187:5140
安徽卫视SD,http://175.152.138.149:6066/udp/239.94.2.191:5140
山西卫视SD,http://175.152.138.149:6066/udp/239.94.0.93:5140
山西卫视SD,http://175.152.138.149:6066/udp/239.94.2.199:5140
江西卫视SD,http://175.152.138.149:6066/udp/239.94.2.185:5140
湖北卫视SD,http://175.152.138.149:6066/udp/239.94.2.190:5140
旅游卫视SD,http://175.152.138.149:6066/udp/239.94.0.100:5140
旅游卫视SD,http://175.152.138.149:6066/udp/239.94.2.206:5140
陕西卫视SD,http://175.152.138.149:6066/udp/239.94.2.198:5140
东南卫视SD,http://175.152.138.149:6066/udp/239.94.2.186:5140
厦门卫视SD,http://175.152.138.149:6066/udp/239.94.0.104:5140
厦门卫视SD,http://175.152.138.149:6066/udp/239.94.2.210:5140
吉林卫视SD,http://175.152.138.149:6066/udp/239.94.2.197:5140
辽宁卫视SD,http://175.152.138.149:6066/udp/239.94.2.207:5140
内蒙古卫视SD,http://175.152.138.149:6066/udp/239.94.0.94:5140
内蒙古卫视SD,http://175.152.138.149:6066/udp/239.94.2.200:5140
湖南卫视SD,http://175.152.138.149:6066/udp/239.94.2.167:5140
广东卫视SD,http://175.152.138.149:6066/udp/239.94.2.173:5140
河南卫视SD,http://175.152.138.149:6066/udp/239.94.2.194:5140
河北卫视SD,http://175.152.138.149:6066/udp/239.94.2.192:5140
甘肃卫视SD,http://175.152.138.149:6066/udp/239.94.2.205:5140
青海卫视SD,http://175.152.138.149:6066/udp/239.94.0.95:5140
青海卫视SD,http://175.152.138.149:6066/udp/239.94.2.201:5140
三沙卫视SD,http://175.152.138.149:6066/udp/239.94.0.105:5140
三沙卫视SD,http://175.152.138.149:6066/udp/239.94.2.211:5140
康巴卫视SD,http://175.152.138.149:6066/udp/239.94.2.184:5140
安多卫视SD,http://175.152.138.149:6066/udp/239.94.0.110:5140
安多卫视SD,http://175.152.138.149:6066/udp/239.94.2.216:5140
延边卫视SD,http://175.152.138.149:6066/udp/239.94.0.107:5140
延边卫视SD,http://175.152.138.149:6066/udp/239.94.2.213:5140
金鹰卡通SD,http://175.152.138.149:6066/udp/239.94.1.30:5140
金鹰卡通SD,http://175.152.138.149:6066/udp/239.94.2.231:5140
嘉佳卡通SD,http://175.152.138.149:6066/udp/239.94.1.10:5140
嘉佳卡通SD,http://175.152.138.149:6066/udp/239.94.2.226:5140
卡酷少儿SD,http://175.152.138.149:6066/udp/239.94.1.29:5140
卡酷少儿SD,http://175.152.138.149:6066/udp/239.94.2.230:5140
山东教育卫视SD,http://175.152.138.149:6066/udp/239.94.0.106:5140
山东教育卫视SD,http://175.152.138.149:6066/udp/239.94.2.212:5140
星空卫视SD,http://175.152.138.149:6066/udp/239.94.2.54:5140
星空卫视SD,http://175.152.138.149:6066/udp/239.94.2.53:5140
ChannelVSD,http://175.152.138.149:6066/udp/239.94.2.55:5140
ChannelVSD,http://175.152.138.149:6066/udp/239.94.2.56:5140
北京纪实科教SD,http://175.152.138.149:6066/udp/239.94.2.215:5140
东方财经SD,http://175.152.138.149:6066/udp/239.94.2.236:5140
四川文化旅游SD,http://175.152.138.149:6066/udp/239.94.2.177:5140
四川经济SD,http://175.152.138.149:6066/udp/239.94.2.176:5140
四川新闻SD,http://175.152.138.149:6066/udp/239.94.2.178:5140
四川影视文艺SD,http://175.152.138.149:6066/udp/239.94.2.179:5140
四川星空购物SD,http://175.152.138.149:6066/udp/239.94.2.180:5140
四川妇女儿童SD,http://175.152.138.149:6066/udp/239.94.2.181:5140
四川科教SD,http://175.152.138.149:6066/udp/239.94.2.182:5140
四川乡村SD,http://175.152.138.149:6066/udp/239.94.2.183:5140
峨眉电影SD,http://175.152.138.149:6066/udp/239.94.2.209:5140
成都综合SD,http://175.152.138.149:6066/udp/239.94.2.166:5140
成都经济SD,http://175.152.138.149:6066/udp/239.94.2.217:5140
成都都市SD,http://175.152.138.149:6066/udp/239.94.2.218:5140
成都影视SD,http://175.152.138.149:6066/udp/239.94.2.219:5140
成都公共SD,http://175.152.138.149:6066/udp/239.94.2.220:5140
成都少儿SD,http://175.152.138.149:6066/udp/239.94.2.221:5140
成都蓉城先锋SD,http://175.152.138.149:6066/udp/239.94.2.222:5140
优漫卡通SD,http://175.152.138.149:6066/udp/239.94.1.31:5140
优漫卡通SD,http://175.152.138.149:6066/udp/239.94.2.232:5140
财富天下SD,http://175.152.138.149:6066/udp/239.94.2.234:5140
家庭理财SD,http://175.152.138.149:6066/udp/239.94.1.50:5140
导视专区SD,http://175.152.138.149:6066/udp/239.94.1.55:5140
未知节目SD,http://175.152.138.149:6066/udp/239.94.2.3:5140
未知节目SD,http://175.152.138.149:6066/udp/239.94.2.5:5140
